dataset	n_genomes	method	kmers	bytes	bytes_per_genome
sc2	63	bz2	47334	70011	1111.2857142857142
sc2	63	gz	47334	28942	459.3968253968254
sc2	63	repair	47334	28160	446.984126984127
sc2	63	xz	47334	11764	186.73015873015873
sc2	64	bz2	47892	71009	1109.515625
sc2	64	gz	47892	29289	457.640625
sc2	64	repair	47892	28672	448
sc2	64	xz	47892	11856	185.25
sc2	65	bz2	48169	74168	1141.0461538461539
sc2	65	gz	48169	29571	454.9384615384615
sc2	65	repair	48169	28672	441.10769230769233
sc2	65	xz	48169	11924	183.44615384615383
sc2	66	bz2	48293	74297	1125.7121212121212
sc2	66	gz	48293	29822	451.8484848484849
sc2	66	repair	48293	29184	442.1818181818182
sc2	66	xz	48293	11968	181.33333333333334
sc2	67	bz2	48386	73787	1101.2985074626865
sc2	67	gz	48386	30069	448.7910447761194
sc2	67	repair	48386	29696	443.2238805970149
sc2	67	xz	48386	12020	179.40298507462686
sc2	68	bz2	48572	74054	1089.0294117647059
sc2	68	gz	48572	30357	446.4264705882353
sc2	68	repair	48572	29696	436.70588235294116
sc2	68	xz	48572	12084	177.7058823529412
sc2	69	bz2	48758	77306	1120.376811594203
sc2	69	gz	48758	30613	443.6666666666667
sc2	69	repair	48758	29696	430.3768115942029
sc2	69	xz	48758	12116	175.59420289855072
sc2	70	bz2	48820	77790	1111.2857142857142
sc2	70	gz	48820	30925	441.7857142857143
sc2	70	repair	48820	30208	431.54285714285714
sc2	70	xz	48820	12148	173.54285714285714
sc2	71	bz2	48851	78349	1103.5070422535211
sc2	71	gz	48851	31195	439.36619718309856
sc2	71	repair	48851	30208	425.46478873239437
sc2	71	xz	48851	12184	171.6056338028169
sc2	72	bz2	48944	77549	1077.0694444444443
sc2	72	gz	48944	31429	436.5138888888889
sc2	72	repair	48944	30208	419.55555555555554
sc2	72	xz	48944	12208	169.55555555555554
sc2	73	bz2	49068	77990	1068.3561643835617
sc2	73	gz	49068	31813	435.7945205479452
sc2	73	repair	49068	30208	413.8082191780822
sc2	73	xz	49068	12264	168
sc2	74	bz2	49659	77769	1050.9324324324325
sc2	74	gz	49659	32197	435.0945945945946
sc2	74	repair	49659	30720	415.13513513513516
sc2	74	xz	49659	12360	167.02702702702703
sc2	75	bz2	49783	77304	1030.72
sc2	75	gz	49783	32616	434.88
sc2	75	repair	49783	31232	416.4266666666667
sc2	75	xz	49783	12444	165.92
sc2	76	bz2	50120	77806	1023.7631578947369
sc2	76	gz	50120	32893	432.80263157894734
sc2	76	repair	50120	31232	410.94736842105266
sc2	76	xz	50120	12496	164.42105263157896
sc2	77	bz2	50213	80410	1044.2857142857142
sc2	77	gz	50213	33147	430.4805194805195
sc2	77	repair	50213	31232	405.61038961038963
sc2	77	xz	50213	12508	162.44155844155844
sc2	78	bz2	50275	80929	1037.551282051282
sc2	78	gz	50275	33392	428.1025641025641
sc2	78	repair	50275	31744	406.97435897435895
sc2	78	xz	50275	12544	160.82051282051282
sc2	79	bz2	50335	82663	1046.367088607595
sc2	79	gz	50335	33630	425.69620253164555
sc2	79	repair	50335	31744	401.82278481012656
sc2	79	xz	50335	12584	159.29113924050634
sc2	80	bz2	50583	81158	1014.475
sc2	80	gz	50583	33990	424.875
sc2	80	repair	50583	32256	403.2
sc2	80	xz	50583	12624	157.8
