filename	method	genomes	kmers	bytes	compr_lines
recompressed_00000044.repair	repair	44	41507	23040	44
recompressed_00000044.xz	xz	44	41507	10672	44
recompressed_00000045.bz2	bz2	45	41662	49251	45
recompressed_00000045.gz	gz	45	41662	23008	45
recompressed_00000045.repair	repair	45	41662	23040	45
recompressed_00000045.xz	xz	45	41662	10712	45
recompressed_00000046.bz2	bz2	46	41787	49801	46
recompressed_00000046.gz	gz	46	41787	23292	46
recompressed_00000046.repair	repair	46	41787	23552	46
recompressed_00000046.xz	xz	46	41787	10760	46
recompressed_00000047.bz2	bz2	47	42066	52855	47
recompressed_00000047.gz	gz	47	42066	23714	47
recompressed_00000047.repair	repair	47	42066	23552	47
recompressed_00000047.xz	xz	47	42066	10824	47
recompressed_00000048.bz2	bz2	48	42558	53341	48
recompressed_00000048.gz	gz	48	42558	24044	48
recompressed_00000048.repair	repair	48	42558	24064	48
recompressed_00000048.xz	xz	48	42558	10892	48
recompressed_00000049.bz2	bz2	49	42899	55311	49
recompressed_00000049.gz	gz	49	42899	24330	49
recompressed_00000049.repair	repair	49	42899	24576	49
recompressed_00000049.xz	xz	49	42899	10952	49
recompressed_00000050.bz2	bz2	50	43473	53690	50
recompressed_00000050.gz	gz	50	43473	24800	50
recompressed_00000050.repair	repair	50	43473	24576	50
recompressed_00000050.xz	xz	50	43473	11076	50
recompressed_00000051.bz2	bz2	51	43628	55668	51
recompressed_00000051.gz	gz	51	43628	25133	51
recompressed_00000051.repair	repair	51	43628	25088	51
recompressed_00000051.xz	xz	51	43628	11148	51
recompressed_00000052.bz2	bz2	52	43784	55854	52
recompressed_00000052.gz	gz	52	43784	25406	52
recompressed_00000052.repair	repair	52	43784	25088	52
recompressed_00000052.xz	xz	52	43784	11192	52
recompressed_00000053.bz2	bz2	53	43877	54610	53
recompressed_00000053.gz	gz	53	43877	25651	53
recompressed_00000053.repair	repair	53	43877	25088	53
recompressed_00000053.xz	xz	53	43877	11232	53
recompressed_00000054.bz2	bz2	54	43908	53915	54
recompressed_00000054.gz	gz	54	43908	25902	54
recompressed_00000054.repair	repair	54	43908	25088	54
recompressed_00000054.xz	xz	54	43908	11244	54
recompressed_00000055.bz2	bz2	55	44063	55992	55
recompressed_00000055.gz	gz	55	44063	26148	55
recompressed_00000055.repair	repair	55	44063	25600	55
recompressed_00000055.xz	xz	55	44063	11280	55
recompressed_00000056.bz2	bz2	56	44823	56198	56
recompressed_00000056.gz	gz	56	44823	26643	56
recompressed_00000056.repair	repair	56	44823	26624	56
recompressed_00000056.xz	xz	56	44823	11392	56
recompressed_00000057.bz2	bz2	57	45631	54749	57
recompressed_00000057.gz	gz	57	45631	27068	57
recompressed_00000057.repair	repair	57	45631	27136	57
recompressed_00000057.xz	xz	57	45631	11452	57
recompressed_00000058.bz2	bz2	58	45880	56334	58
recompressed_00000058.gz	gz	58	45880	27333	58
recompressed_00000058.repair	repair	58	45880	27136	58
recompressed_00000058.xz	xz	58	45880	11492	58
recompressed_00000059.bz2	bz2	59	46559	54544	59
recompressed_00000059.gz	gz	59	46559	27754	59
recompressed_00000059.repair	repair	59	46559	27648	59
recompressed_00000059.xz	xz	59	46559	11592	59
recompressed_00000060.bz2	bz2	60	46683	55914	60
recompressed_00000060.gz	gz	60	46683	28016	60
recompressed_00000060.repair	repair	60	46683	27648	60
recompressed_00000060.xz	xz	60	46683	11632	60
recompressed_00000061.bz2	bz2	61	46714	63732	61
recompressed_00000061.gz	gz	61	46714	28239	61
recompressed_00000061.repair	repair	61	46714	28160	61
recompressed_00000061.xz	xz	61	46714	11644	61
recompressed_00000062.bz2	bz2	62	47055	68150	62
recompressed_00000062.gz	gz	62	47055	28676	62
recompressed_00000062.repair	repair	62	47055	28160	62
recompressed_00000062.xz	xz	62	47055	11724	62
recompressed_00000063.bz2	bz2	63	47334	70011	63
recompressed_00000063.gz	gz	63	47334	28942	63
recompressed_00000063.repair	repair	63	47334	28160	63
recompressed_00000063.xz	xz	63	47334	11764	63
recompressed_00000064.bz2	bz2	64	47892	71009	64
recompressed_00000064.gz	gz	64	47892	29289	64
recompressed_00000064.repair	repair	64	47892	28672	64
recompressed_00000064.xz	xz	64	47892	11856	64
recompressed_00000065.bz2	bz2	65	48169	74168	65
recompressed_00000065.gz	gz	65	48169	29571	65
recompressed_00000065.repair	repair	65	48169	28672	65
recompressed_00000065.xz	xz	65	48169	11924	65
recompressed_00000066.bz2	bz2	66	48293	74297	66
recompressed_00000066.gz	gz	66	48293	29822	66
recompressed_00000066.repair	repair	66	48293	29184	66
recompressed_00000066.xz	xz	66	48293	11968	66
recompressed_00000067.bz2	bz2	67	48386	73787	67
recompressed_00000067.gz	gz	67	48386	30069	67
recompressed_00000067.repair	repair	67	48386	29696	67
recompressed_00000067.xz	xz	67	48386	12020	67
recompressed_00000068.bz2	bz2	68	48572	74054	68
recompressed_00000068.gz	gz	68	48572	30357	68
recompressed_00000068.repair	repair	68	48572	29696	68
recompressed_00000068.xz	xz	68	48572	12084	68
recompressed_00000069.bz2	bz2	69	48758	77306	69
recompressed_00000069.gz	gz	69	48758	30613	69
recompressed_00000069.repair	repair	69	48758	29696	69
recompressed_00000069.xz	xz	69	48758	12116	69
recompressed_00000070.bz2	bz2	70	48820	77790	70
recompressed_00000070.gz	gz	70	48820	30925	70
recompressed_00000070.repair	repair	70	48820	30208	70
recompressed_00000070.xz	xz	70	48820	12148	70
recompressed_00000071.bz2	bz2	71	48851	78349	71
recompressed_00000071.gz	gz	71	48851	31195	71
recompressed_00000071.repair	repair	71	48851	30208	71
recompressed_00000071.xz	xz	71	48851	12184	71
recompressed_00000072.bz2	bz2	72	48944	77549	72
recompressed_00000072.gz	gz	72	48944	31429	72
recompressed_00000072.repair	repair	72	48944	30208	72
recompressed_00000072.xz	xz	72	48944	12208	72
recompressed_00000073.bz2	bz2	73	49068	77990	73
recompressed_00000073.gz	gz	73	49068	31813	73
recompressed_00000073.repair	repair	73	49068	30208	73
recompressed_00000073.xz	xz	73	49068	12264	73
recompressed_00000074.bz2	bz2	74	49659	77769	74
recompressed_00000074.gz	gz	74	49659	32197	74
recompressed_00000074.repair	repair	74	49659	30720	74
recompressed_00000074.xz	xz	74	49659	12360	74
recompressed_00000075.bz2	bz2	75	49783	77304	75
recompressed_00000075.gz	gz	75	49783	32616	75
recompressed_00000075.repair	repair	75	49783	31232	75
recompressed_00000075.xz	xz	75	49783	12444	75
recompressed_00000076.bz2	bz2	76	50120	77806	76
recompressed_00000076.gz	gz	76	50120	32893	76
recompressed_00000076.repair	repair	76	50120	31232	76
recompressed_00000076.xz	xz	76	50120	12496	76
recompressed_00000077.bz2	bz2	77	50213	80410	77
recompressed_00000077.gz	gz	77	50213	33147	77
recompressed_00000077.repair	repair	77	50213	31232	77
recompressed_00000077.xz	xz	77	50213	12508	77
recompressed_00000078.bz2	bz2	78	50275	80929	78
recompressed_00000078.gz	gz	78	50275	33392	78
recompressed_00000078.repair	repair	78	50275	31744	78
recompressed_00000078.xz	xz	78	50275	12544	78
recompressed_00000079.bz2	bz2	79	50335	82663	79
recompressed_00000079.gz	gz	79	50335	33630	79
recompressed_00000079.repair	repair	79	50335	31744	79
recompressed_00000079.xz	xz	79	50335	12584	79
recompressed_00000080.bz2	bz2	80	50583	81158	80
recompressed_00000080.gz	gz	80	50583	33990	80
